T,Liq Pres,Pore Rad,Pore Pre
0.00153846,101325,1e-05,22756.6,1
0.00307692,101325,1e-05,22869.7,1
0.00461538,101325,1e-05,22983.5,1
0.00615385,101325,1e-05,23097.8,1
0.00769231,101325,1e-05,23212.7,1
0.00923077,101325,1e-05,23328.1,1
0.0107692,101325,1e-05,23444.1,1
0.0123077,101325,1e-05,23560.7,1
0.0138462,101325,1e-05,23677.8,1
0.0153846,101325,1e-05,23795.5,1
0.0169231,101325,1e-05,23913.8,1
0.0184615,101325,1e-05,24032.6,1
0.02,101325,1e-05,24152,1
0.0215385,101325,1e-05,24272,1
0.0230769,101325,1e-05,24392.6,1
0.0246154,101325,1e-05,24513.8,1
0.0261538,101325,1e-05,24635.6,1
0.0276923,101325,1e-05,24758,1
0.0292308,101325,1e-05,24880.9,1
0.0307692,101325,1e-05,25004.5,1
0.0323077,101325,1e-05,25128.6,1
0.0338462,101325,1e-05,25253.3,1
0.0353846,101325,1e-05,25378.7,1
0.0369231,101325,1e-05,25504.7,1
0.0384615,101325,1e-05,25631.2,1
0.04,101325,1e-05,25758.4,1
0.0415385,101325,1e-05,25886.2,1
0.0430769,101325,1e-05,26014.6,1
0.0446154,101325,1e-05,26143.6,1
0.0461538,101325,1e-05,26273.3,1
0.0476923,101325,1e-05,26403.5,1
0.0492308,101325,1e-05,26534.4,1
0.0507692,101325,1e-05,26665.9,1
0.0523077,101325,1e-05,26798.1,1
0.0538462,101325,1e-05,26930.9,1
0.0553846,101325,1e-05,27064.3,1
0.0569231,101325,1e-05,27198.3,1
0.0584615,101325,1e-05,27333,1
0.06,101325,1e-05,27468.4,1
0.0615385,101325,1e-05,27604.3,1
0.0630769,101325,1e-05,27741,1
0.0646154,101325,1e-05,27878.2,1
0.0661538,101325,1e-05,28016.2,1
0.0676923,101325,1e-05,28154.8,1
0.0692308,101325,1e-05,28294,1
0.0707692,101325,1e-05,28433.9,1
0.0723077,101325,1e-05,28574.5,1
0.0738462,101325,1e-05,28715.7,1
0.0753846,101325,1e-05,28857.6,1
0.0769231,101325,1e-05,29000.2,1
0.0784615,101325,1e-05,29143.5,1
0.08,101325,1e-05,29287.4,1
0.0815385,101325,1e-05,29432,1
0.0830769,101325,1e-05,29577.3,1
0.0846154,101325,1e-05,29723.2,1
0.0861538,101325,1e-05,29869.9,1
0.0876923,101325,1e-05,30017.2,1
0.0892308,101325,1e-05,30165.2,1
0.0907692,101325,1e-05,30313.9,1
0.0923077,101325,1e-05,30463.4,1
0.0938462,101325,1e-05,30613.5,1
0.0953846,101325,1e-05,30764.3,1
0.0969231,101325,1e-05,30915.8,1
0.0984615,101325,1e-05,31068,1
0.1,101325,1e-05,31221,1
0.101538,101325,1e-05,31374.6,1
0.103077,101325,1e-05,31529,1
0.104615,101325,1e-05,31684,1
0.106154,101325,1e-05,31839.8,1
0.107692,101325,1e-05,31996.3,1
0.109231,101325,1e-05,32153.6,1
0.110769,101325,1e-05,32311.5,1
0.112308,101325,1e-05,32470.2,1
0.113846,101325,1e-05,32629.7,1
0.115385,101325,1e-05,32789.8,1
0.116923,101325,1e-05,32950.7,1
0.118462,101325,1e-05,33112.3,1
0.12,101325,1e-05,33274.7,1
0.121538,101325,1e-05,33437.8,1
0.123077,101325,1e-05,33601.7,1
0.124615,101325,1e-05,33766.3,1
0.126154,101325,1e-05,33931.6,1
0.127692,101325,1e-05,34097.7,1
0.129231,101325,1e-05,34264.6,1
0.130769,101325,1e-05,34432.2,1
0.132308,101325,1e-05,34600.6,1
0.133846,101325,1e-05,34769.8,1
0.135385,101325,1e-05,34939.7,1
0.136923,101325,1e-05,35110.4,1
0.138462,101325,1e-05,35281.8,1
0.14,101325,1e-05,35454.1,1
0.141538,101325,1e-05,35627.1,1
0.143077,101325,1e-05,35800.9,1
0.144615,101325,1e-05,35975.4,1
0.146154,101325,1e-05,36150.8,1
0.147692,101325,1e-05,36326.9,1
0.149231,101325,1e-05,36503.8,1
0.150769,101325,1e-05,36681.5,1
0.152308,101325,1e-05,36860,1
0.153846,101325,1e-05,37039.3,1
0.155385,101325,1e-05,37219.4,1
0.156923,101325,1e-05,37400.3,1
0.158462,101325,1e-05,37582,1
0.16,101325,1e-05,37764.5,1
0.161538,101325,1e-05,37947.8,1
0.163077,101325,1e-05,38132,1
0.164615,101325,1e-05,38316.9,1
0.166154,101325,1e-05,38502.6,1
0.167692,101325,1e-05,38689.2,1
0.169231,101325,1e-05,38876.6,1
0.170769,101325,1e-05,39064.8,1
0.172308,101325,1e-05,39253.8,1
0.173846,101325,1e-05,39443.7,1
0.175385,101325,1e-05,39634.3,1
0.176923,101325,1e-05,39825.9,1
0.178462,101325,1e-05,40018.2,1
0.18,101325,1e-05,40211.4,1
0.181538,101325,1e-05,40405.4,1
0.183077,101325,1e-05,40600.2,1
0.184615,101325,1e-05,40795.9,1
0.186154,101325,1e-05,40992.5,1
0.187692,101325,1e-05,41189.9,1
0.189231,101325,1e-05,41388.1,1
0.190769,101325,1e-05,41587.2,1
0.192308,101325,1e-05,41787.1,1
0.193846,101325,1e-05,41987.9,1
0.195385,101325,1e-05,42189.6,1
0.196923,101325,1e-05,42392.1,1
0.198462,101325,1e-05,42595.4,1
0.2,101325,1e-05,42799.7,1
0.201538,101325,1e-05,43004.8,1
0.203077,101325,1e-05,43210.7,1
0.204615,101325,1e-05,43417.6,1
0.206154,101325,1e-05,43625.3,1
0.207692,101325,1e-05,43833.9,1
0.209231,101325,1e-05,44043.3,1
0.210769,101325,1e-05,44253.7,1
0.212308,101325,1e-05,44464.9,1
0.213846,101325,1e-05,44677,1
0.215385,101325,1e-05,44890,1
0.216923,101325,1e-05,45103.8,1
0.218462,101325,1e-05,45318.6,1
0.22,101325,1e-05,45534.2,1
0.221538,101325,1e-05,45750.8,1
0.223077,101325,1e-05,45968.2,1
0.224615,101325,1e-05,46186.5,1
0.226154,101325,1e-05,46405.7,1
0.227692,101325,1e-05,46625.9,1
0.229231,101325,1e-05,46846.9,1
0.230769,101325,1e-05,47068.8,1
0.232308,101325,1e-05,47291.6,1
0.233846,101325,1e-05,47515.4,1
0.235385,101325,1e-05,47740,1
0.236923,101325,1e-05,47965.6,1
0.238462,101325,1e-05,48192,1
0.24,101325,1e-05,48419.4,1
0.241538,101325,1e-05,48647.7,1
0.243077,101325,1e-05,48876.9,1
0.244615,101325,1e-05,49107,1
0.246154,101325,1e-05,49338.1,1
0.247692,101325,1e-05,49570.1,1
0.249231,101325,1e-05,49802.9,1
0.250769,101325,1e-05,50036.8,1
0.252308,101325,1e-05,50271.5,1
0.253846,101325,1e-05,50507.2,1
0.255385,101325,1e-05,50743.8,1
0.256923,101325,1e-05,50981.3,1
0.258462,101325,1e-05,51219.8,1
0.26,101325,1e-05,51459.1,1
0.261538,101325,1e-05,51699.5,1
0.263077,101325,1e-05,51940.7,1
0.264615,101325,1e-05,52182.9,1
0.266154,101325,1e-05,52426.1,1
0.267692,101325,1e-05,52670.1,1
0.269231,101325,1e-05,52915.2,1
0.270769,101325,1e-05,53161.1,1
0.272308,101325,1e-05,53408,1
0.273846,101325,1e-05,53655.9,1
0.275385,101325,1e-05,53904.7,1
0.276923,101325,1e-05,54154.4,1
0.278462,101325,1e-05,54405.1,1
0.28,101325,1e-05,54656.7,1
0.281538,101325,1e-05,54909.3,1
0.283077,101325,1e-05,55162.9,1
0.284615,101325,1e-05,55417.4,1
0.286154,101325,1e-05,55672.8,1
0.287692,101325,1e-05,55929.2,1
0.289231,101325,1e-05,56186.5,1
0.290769,101325,1e-05,56444.8,1
0.292308,101325,1e-05,56704.1,1
0.293846,101325,1e-05,56964.3,1
